,open,high,low,close,volume,daily_return,ma_5,ma_10,high_low_diff,prev_close,target
2025-09-29,254.56,255.0,253.01,254.43,40127687.0,-0.0040319423784546116,254.7,249.01,1.990000000000009,255.46,254.63
2025-09-30,254.855,255.919,253.11,254.63,37704259.0,0.0007860708249813886,254.74,250.658,2.8089999999999975,254.43,255.45
2025-10-01,255.04,258.79,254.93,255.45,48713940.0,0.0032203589522050713,255.368,252.304,3.8600000000000136,254.63,257.13
2025-10-02,256.575,258.18,254.15,257.13,42630239.0,0.0065766294773927925,255.42,254.22899999999998,4.030000000000001,255.45,258.02
2025-10-03,254.665,259.24,253.95,258.02,49155614.0,0.0034612841753198786,255.93199999999996,255.481,5.2900000000000205,257.13,256.69
2025-10-06,257.99,259.07,255.05,256.69,44664118.0,-0.005154639175257714,256.38399999999996,255.542,4.019999999999982,258.02,256.48
2025-10-07,256.805,257.4,255.43,256.48,31955776.0,-0.000818107444777616,256.754,255.74699999999999,1.9699999999999704,256.69,258.06
2025-10-08,256.52,258.52,256.11,258.06,36496895.0,0.006160324391765393,257.276,256.322,2.409999999999968,256.48,254.04
2025-10-09,257.805,258.0,253.14,254.04,38322012.0,-0.01557777261102078,256.658,256.039,4.860000000000014,258.06,245.27
2025-10-10,254.94,256.38,244.0,245.27,61999098.0,-0.03452212250039355,254.108,255.01999999999998,12.379999999999995,254.04,247.66
2025-10-13,249.38,249.69,245.56,247.66,38142942.0,0.009744363354670327,252.302,254.34300000000002,4.1299999999999955,245.27,247.77
2025-10-14,246.6,248.845,244.7,247.77,35477986.0,0.0004441573124445153,250.56000000000003,253.657,4.14500000000001,247.66,249.34
2025-10-15,249.485,251.82,247.47,249.34,33893611.0,0.006336521774226167,248.81599999999997,253.046,4.349999999999994,247.77,247.45
2025-10-16,248.25,249.04,245.13,247.45,39776974.0,-0.007580011229646355,247.498,252.07800000000003,3.9099999999999966,249.34,252.29
2025-10-17,248.02,253.38,247.27,252.29,49146961.0,0.0195595069711052,248.902,251.50500000000002,6.109999999999985,247.45,262.24
2025-10-20,255.885,264.375,255.63,262.24,90483029.0,0.03943874113123802,251.81799999999998,252.06,8.745000000000005,252.29,262.77
2025-10-21,261.88,265.29,261.83,262.77,46695948.0,0.0020210494203782847,254.81799999999998,252.689,3.4600000000000364,262.24,258.45
2025-10-22,262.65,262.85,255.43,258.45,45015254.0,-0.016440232903299434,256.64,252.728,7.420000000000016,262.77,259.58
2025-10-23,259.94,260.62,258.0101,259.58,32754941.0,0.0043722189978718795,259.066,253.282,2.609899999999982,258.45,262.82
2025-10-24,261.19,264.13,259.18,262.82,38253717.0,0.012481701209646312,261.172,255.03699999999998,4.949999999999989,259.58,268.81
2025-10-27,264.88,269.12,264.6501,268.81,44888152.0,0.02279126398295417,262.486,257.152,4.4698999999999955,262.82,269.0
2025-10-28,268.985,269.89,268.15,269.0,41534759.0,0.0007068189427477112,263.732,259.275,1.740000000000009,268.81,269.7
2025-10-29,269.275,271.41,267.11,269.7,51086742.0,0.0026022304832713505,265.98199999999997,261.31100000000004,4.300000000000011,269.0,271.4
2025-10-30,271.99,274.14,268.48,271.4,69886534.0,0.006303299962921782,268.346,263.706,5.659999999999968,269.7,270.37
2025-10-31,276.99,277.32,269.16,270.37,86167123.0,-0.0037951363301399477,269.85599999999994,265.514,8.159999999999968,271.4,269.05
2025-11-03,270.42,270.85,266.25,269.05,50194583.0,-0.004882198468765031,269.904,266.19500000000005,4.600000000000023,270.37,270.04
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,0.0036796134547483206,270.11199999999997,266.922,3.870999999999981,269.05,270.14
2025-11-05,268.61,271.7,266.93,270.14,42586288.0,0.00037031550881327924,270.2,268.091,4.769999999999982,270.04,269.77
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,-0.0013696601762049898,269.87399999999997,269.11,5.509999999999991,270.14,268.47
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,-0.004818919820587686,269.494,269.675,5.520000000000039,269.77,269.43
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,0.003575818527209673,269.57,269.73699999999997,6.275000000000034,268.47,275.25
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,0.021601158000222664,270.61199999999997,270.36199999999997,6.110000000000014,269.43,273.47
2025-11-12,275.0,275.73,271.7,273.47,48397982.0,-0.006466848319709229,271.278,270.739,4.03000000000003,275.25,272.95
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,-0.0019014882802502742,271.914,270.894,4.609000000000037,273.47,272.41
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,-0.0019783843194722817,272.702,271.098,6.359999999999957,272.95,267.46
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,-0.01817113909181034,272.308,270.93899999999996,4.759999999999991,272.41,267.44
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,-7.477753682783028e-05,270.746,270.679,5.389999999999986,267.46,268.56
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,0.004187855219862424,269.764,270.521,6.7099999999999795,267.44,266.25
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,-0.008601429848078657,268.424,270.169,9.509999999999991,268.56,271.49
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,0.019680751173708932,268.23999999999995,270.471,7.659999999999968,266.25,275.92
2025-11-24,270.9,277.0,270.9,275.92,65585796.0,0.01631735975542381,269.93199999999996,271.12,6.100000000000023,271.49,276.97
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,0.003805450855320469,271.838,271.29200000000003,5.1299999999999955,275.92,277.55
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,0.002094089612593386,273.6360000000001,271.7,2.8999999999999773,276.97,278.85
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0,0.004683840749414525,276.15600000000006,272.29,3.013500000000022,277.55,283.1
2025-12-01,278.01,283.42,276.14,283.1,46587722.0,0.01524116908732287,278.47799999999995,273.35900000000004,7.28000000000003,278.85,286.19
2025-12-02,283.0,287.4,282.6301,286.19,53669532.0,0.010914871070293097,280.53200000000004,275.232,4.76989999999995,283.1,284.15
2025-12-03,286.2,288.62,283.3,284.15,43538687.0,-0.007128131660784853,281.968,276.903,5.319999999999993,286.19,280.7
2025-12-04,284.095,284.73,278.59,280.7,43989056.0,-0.012141474573288735,282.59799999999996,278.117,6.140000000000043,284.15,278.78
2025-12-05,280.54,281.14,278.05,278.78,47265845.0,-0.006840042750267283,282.584,279.37,3.089999999999975,280.7,277.89
2025-12-08,278.13,279.6693,276.15,277.89,36406317.0,-0.003192481526651747,281.54200000000003,280.01000000000005,3.519300000000044,278.78,277.18
2025-12-09,278.16,280.03,276.92,277.18,31753410.0,-0.0025549677930115644,279.74,280.136,3.109999999999957,277.89,278.78
2025-12-10,277.75,279.75,276.44,278.78,33038318.0,0.005772422252687592,278.666,280.317,3.3100000000000023,277.18,278.03
2025-12-11,279.095,279.59,273.81,278.03,33247986.0,-0.0026902934213358654,278.132,280.36499999999995,5.779999999999973,278.78,278.28
2025-12-12,277.9,279.22,276.82,278.28,39532887.0,0.0008991835413445504,278.03200000000004,280.308,2.400000000000034,278.03,274.11
2025-12-15,280.15,280.15,272.84,274.11,50409078.0,-0.014984907287623805,277.27599999999995,279.409,7.310000000000002,278.28,274.61
2025-12-16,272.82,275.5,271.79,274.61,37648628.0,0.001824085221261429,276.762,278.251,3.7099999999999795,274.11,271.84
2025-12-17,275.01,276.16,271.64,271.84,50138743.0,-0.010087032518845018,275.37399999999997,277.02,4.520000000000039,274.61,272.19
2025-12-18,273.605,273.63,266.95,272.19,51630721.0,0.0012875220718069347,274.206,276.169,6.680000000000007,271.84,273.67
2025-12-19,272.145,274.6,269.9,273.67,144632048.0,0.0054373783019214805,273.284,275.658,4.7000000000000455,272.19,270.97
2025-12-22,272.86,273.88,270.505,270.97,36571827.0,-0.00986589688310735,272.65600000000006,274.966,3.375,273.67,272.36
2025-12-23,270.84,272.5,269.56,272.36,29641999.0,0.005129719157102253,272.206,274.48400000000004,2.9399999999999977,270.97,273.81
2025-12-24,272.34,275.43,272.195,273.81,17910574.0,0.005323836099280221,272.6,273.98699999999997,3.2350000000000136,272.36,273.4
2025-12-26,274.16,275.37,272.86,273.4,21521802.0,-0.0014973887001936692,272.842,273.524,2.509999999999991,273.81,273.76
2025-12-29,272.69,274.36,272.35,273.76,23715213.0,0.0013167520117045584,272.86,273.072,2.009999999999991,273.4,273.08
2025-12-30,272.81,274.08,272.28,273.08,22139617.0,-0.002483927527761609,273.282,272.969,1.8000000000000114,273.76,271.86
2025-12-31,273.06,273.68,271.75,271.86,27293639.0,-0.004467555295151526,273.18199999999996,272.694,1.9300000000000068,273.08,271.01
2026-01-02,272.255,277.84,269.0,271.01,37838054.0,-0.003126609284190507,272.622,272.611,8.839999999999975,271.86,267.26
2026-01-05,270.64,271.51,266.14,267.26,45647190.0,-0.01383712778126267,271.39399999999995,272.118,5.3700000000000045,271.01,262.36
2026-01-06,267.0,267.55,262.12,262.36,52352090.0,-0.018334206390780428,269.114,270.987,5.430000000000007,267.26,260.33
2026-01-07,263.2,263.68,259.81,260.33,48309804.0,-0.007737459978655381,266.56399999999996,269.923,3.8700000000000045,262.36,259.04
2026-01-08,257.02,259.29,255.7,259.04,50419337.0,-0.004955249106902593,264.0,268.591,3.590000000000032,260.33,259.37
2026-01-09,259.075,260.21,256.22,259.37,39996967.0,0.0012739345274861424,261.67199999999997,267.147,3.9899999999999523,259.04,260.25
2026-01-12,259.16,261.3,256.8,260.25,45263767.0,0.0033928364884141526,260.27,265.832,4.5,259.37,261.05
2026-01-13,258.72,261.81,258.39,261.05,45730847.0,0.00307396733909715,260.008,264.56100000000004,3.420000000000016,260.25,259.96
2026-01-14,259.49,261.82,256.71,259.96,40019421.0,-0.0041754453169892125,259.934,263.249,5.110000000000014,261.05,258.21
2026-01-15,260.65,261.04,257.05,258.21,39388564.0,-0.006731804893060467,259.76800000000003,261.884,3.990000000000009,259.96,255.53
2026-01-16,257.9,258.9,254.93,255.53,72142773.0,-0.010379148754889322,259.0,260.33599999999996,3.9699999999999704,258.21,246.7
2026-01-20,252.73,254.79,243.42,246.7,77280987.0,-0.03455562947599111,256.29,258.28000000000003,11.370000000000005,255.53,247.65
2026-01-21,248.7,251.56,245.18,247.65,54641725.0,0.0038508309687881326,253.60999999999999,256.80899999999997,6.3799999999999955,246.7,248.35
2026-01-22,249.2,251.0,248.15,248.35,39708340.0,0.0028265697557035008,251.288,255.61100000000002,2.8499999999999943,247.65,248.04
2026-01-23,247.32,249.41,244.68,248.04,41688982.0,-0.0012482383732635993,249.254,254.51100000000002,4.72999999999999,248.35,255.41
2026-01-26,251.48,256.56,249.8,255.41,55969234.0,0.029712949524270282,249.22999999999996,254.115,6.759999999999991,248.04,258.27
2026-01-27,259.17,261.95,258.21,258.27,48787855.0,0.011197682158098576,251.544,253.917,3.740000000000009,255.41,256.44
2026-01-28,257.65,258.855,254.51,256.44,41287971.0,-0.0070856080845626,253.302,253.456,4.345000000000027,258.27,258.28
2026-01-29,258.0,259.65,254.41,258.28,67253009.0,0.007175167680548933,255.288,253.28799999999995,5.239999999999981,256.44,259.48
2026-01-30,255.165,261.8999,252.18,259.48,92443408.0,0.004646120489391503,257.576,253.41499999999996,9.719899999999996,258.28,270.01
2026-02-02,260.03,270.49,259.205,270.01,73913425.0,0.040581162324649256,260.496,254.863,11.285000000000025,259.48,269.48
2026-02-03,269.2,271.875,267.61,269.48,63799388.0,-0.0019628902633235246,262.738,257.14099999999996,4.264999999999986,270.01,276.49
2026-02-04,272.285,278.95,272.285,276.49,90545710.0,0.026013062193854797,266.748,260.025,6.664999999999964,269.48,275.91
2026-02-05,278.13,279.5,273.23,275.91,52977441.0,-0.0020977250533472658,270.274,262.781,6.269999999999982,276.49,278.12
